# Command,Expeditor FF_PMC_DO_Analytics.csv --outputDir FF_PMC_DO_Analytics_Expeditor -overwrite -nocollect -np 4 -ntpp 1 --hashed -killflagfile C:/Users/began/AppData/Local/Temp/semuKillFiled12472
# Started,2018-10-13 09:05:25
# Output folder,C:\Users\began\Documents\Product_80\New_Tutorial\FF_PMC_DO\FF_PMC_DO_Analytics\FF_PMC_DO_Analytics_Expeditor

# Assembly File,..\14nmFinFET.zam


Run,2.1.15:thickness,2.1.9:lithography.dimensionalBias.xBias,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,CD_MAND_DEV,CD_MAND_FIN,SH_MAND_FIN,THK_PADOX_DEP,THK_PADNIT_DEP,Trench_CD,FinCD_Top,FinCD_Top_xStart,FinCD_Top_yStart,FinCD_Top_zStart,FinCD_Top_xEnd,FinCD_Top_yEnd,FinCD_Top_zEnd,FinCD_Mid,FinCD_Mid_xStart,FinCD_Mid_yStart,FinCD_Mid_zStart,FinCD_Mid_xEnd,FinCD_Mid_yEnd,FinCD_Mid_zEnd,FinCD_Bot,FinCD_Bot_xStart,FinCD_Bot_yStart,FinCD_Bot_zStart,FinCD_Bot_xEnd,FinCD_Bot_yEnd,FinCD_Bot_zEnd,GapCD_top,sidewall_angle,Duration
Run-12,35.0,0.0,5.0,47.04,42.1255952582,43.25,3.0,30.0,42.6710526316,11.856,459.07,171.5,9.8000000000000000e+01,470.926,171.5,9.8000000000000000e+01,20.219,454.617,171.5,5.0000000000000000e+01,474.836,171.5,5.0000000000000000e+01,28.954,450.234,171.5,0.0000000000000000e+00,479.188,171.5,0.0000000000000000e+00,36.3211874788,5.97364986181,0:08:52 (H:M:S)
Run-13,35.0,0.0,6.0,47.04,42.1255952582,43.25,3.0,30.0,42.5522255369,11.9225714286,459.031,171.5,9.8000000000000000e+01,470.953571429,171.5,9.8000000000000000e+01,21.953,453.742,171.5,5.0000000000000000e+01,475.695,171.5,5.0000000000000000e+01,32.438,448.5,171.5,0.0000000000000000e+00,480.938,171.5,0.0000000000000000e+00,36.2852802796,7.00009842289,0:08:04 (H:M:S)
Run-14,35.0,0.0,7.0,47.04,42.1255952582,43.25,3.0,30.0,40.9934895833,11.985,459.031,171.5,9.8000000000000000e+01,471.016,171.5,9.8000000000000000e+01,23.696,452.859,171.5,5.0000000000000000e+01,476.555,171.5,5.0000000000000000e+01,35.946,446.742,171.5,0.0000000000000000e+00,482.688,171.5,0.0000000000000000e+00,36.2551842889,7.91168329402,0:08:04 (H:M:S)
Run-15,35.0,2.0,3.0,43.04,38.1255952582,43.25,3.0,30.0,38.8348887294,11.68,461.117,171.5,9.8000000000000000e+01,472.797,171.5,9.8000000000000000e+01,16.68,458.375,171.5,5.0000000000000000e+01,475.055,171.5,5.0000000000000000e+01,21.914,455.758,171.5,0.0000000000000000e+00,477.672,171.5,0.0000000000000000e+00,40.5445612083,4.68337854972,0:07:42 (H:M:S)
Run-16,35.0,2.0,4.0,43.04,38.1255952582,43.25,3.0,30.0,38.7630799605,11.743,461.109,171.5,9.8000000000000000e+01,472.852,171.5,9.8000000000000000e+01,18.461,457.492,171.5,5.0000000000000000e+01,475.953,171.5,5.0000000000000000e+01,25.43,454.0,171.5,0.0000000000000000e+00,479.43,171.5,0.0000000000000000e+00,40.3503129968,5.10641702686,0:08:06 (H:M:S)
Run-17,35.0,2.0,5.0,43.04,38.1255952582,43.25,3.0,30.0,38.6732571865,11.856,461.07,171.5,9.8000000000000000e+01,472.926,171.5,9.8000000000000000e+01,20.219,456.617,171.5,5.0000000000000000e+01,476.836,171.5,5.0000000000000000e+01,28.954,452.234,171.5,0.0000000000000000e+00,481.188,171.5,0.0000000000000000e+00,40.3211874788,5.9732458796,0:08:37 (H:M:S)
Run-18,35.0,2.0,6.0,43.04,38.1255952582,43.25,3.0,30.0,38.5023405377,11.883,461.031,171.5,9.8000000000000000e+01,472.914,171.5,9.8000000000000000e+01,21.985,455.742,171.5,5.0000000000000000e+01,477.727,171.5,5.0000000000000000e+01,32.461,450.5,171.5,0.0000000000000000e+00,482.961,171.5,0.0000000000000000e+00,40.2852802796,7.00060987147,0:07:40 (H:M:S)
Run-19,35.0,2.0,7.0,43.04,38.1255952582,43.25,3.0,30.0,36.9934917012,11.985,461.031,171.5,9.8000000000000000e+01,473.016,171.5,9.8000000000000000e+01,23.696,454.859,171.5,5.0000000000000000e+01,478.555,171.5,5.0000000000000000e+01,35.946,448.742,171.5,0.0000000000000000e+00,484.688,171.5,0.0000000000000000e+00,40.2551842889,NOVAL,0:07:59 (H:M:S)
Run-20,35.0,4.0,3.0,39.04,34.1255952582,43.25,3.0,30.0,34.8348887294,11.68,463.117,171.5,9.8000000000000000e+01,474.797,171.5,9.8000000000000000e+01,16.68,460.375,171.5,5.0000000000000000e+01,477.055,171.5,5.0000000000000000e+01,21.914,457.758,171.5,0.0000000000000000e+00,479.672,171.5,0.0000000000000000e+00,44.5445612083,4.68304700259,0:07:40 (H:M:S)
Run-21,35.0,4.0,4.0,39.04,34.1255952582,43.25,3.0,30.0,34.7630799605,11.743,463.109,171.5,9.8000000000000000e+01,474.852,171.5,9.8000000000000000e+01,18.461,459.492,171.5,5.0000000000000000e+01,477.953,171.5,5.0000000000000000e+01,25.43,456.0,171.5,0.0000000000000000e+00,481.43,171.5,0.0000000000000000e+00,44.3503129968,5.10677166044,0:07:51 (H:M:S)
