# Command,Expeditor Verify_PWO_Analytics.csv --outputDir Verify_PWO_Analytics_Expeditor -overwrite -nocollect -np 4 -ntpp 1 --hashed -killflagfile C:/Users/began/AppData/Local/Temp/semuKillFileU12556
# Started,2019-05-14 11:34:39
# Output folder,C:\Users\began\Documents\Product_80\Tutorial_PWO_2\Verify_PWO\Verify_PWO_Analytics\Verify_PWO_Analytics_Expeditor

# Assembly File,..\14nmFinFET.zam


Run,2.1.15:thickness,2.1.9:lithography.dimensionalBias.xBias,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,CD_MAND_DEV,CD_MAND_FIN,SH_MAND_FIN,THK_PADOX_DEP,THK_PADNIT_DEP,Trench_CD,FinCD_Top,FinCD_Top_xStart,FinCD_Top_yStart,FinCD_Top_zStart,FinCD_Top_xEnd,FinCD_Top_yEnd,FinCD_Top_zEnd,FinCD_Mid,FinCD_Mid_xStart,FinCD_Mid_yStart,FinCD_Mid_zStart,FinCD_Mid_xEnd,FinCD_Mid_yEnd,FinCD_Mid_zEnd,FinCD_Bot,FinCD_Bot_xStart,FinCD_Bot_yStart,FinCD_Bot_zStart,FinCD_Bot_xEnd,FinCD_Bot_yEnd,FinCD_Bot_zEnd,GapCD_top,sidewall_angle,Duration
Run-11,38.522998707196052,-0.78220372229785173,4.4218282094919763,49.0313873195,44.1255952582,43.25,3.0,30.0,44.7246049661,14.141,455.734,171.5,9.8000000000000000e+01,469.875,171.5,9.8000000000000000e+01,21.586,451.734,171.5,5.0000000000000000e+01,473.32,171.5,5.0000000000000000e+01,29.313,447.867,171.5,0.0000000000000000e+00,477.18,171.5,0.0000000000000000e+00,28.9651437151,5.52313873318,0:08:12 (H:M:S)
Run-12,37.131568714600547,-0.11229986333875108,4.0625830278664976,49.004454343,42.911304126,43.25,3.0,30.0,42.9901760131,12.91,457.094,171.5,9.8000000000000000e+01,470.004,171.5,9.8000000000000000e+01,19.594,453.531,171.5,5.0000000000000000e+01,473.125,171.5,5.0000000000000000e+01,26.711,449.977,171.5,0.0000000000000000e+00,476.688,171.5,0.0000000000000000e+00,32.3634896401,5.15920136737,0:12:04 (H:M:S)
Run-13,38.979273093591864,-1.6088603252636777,4.4732418268516367,51.0245669291,46.1255952582,43.25,3.0,30.0,46.7242937853,14.457,454.422,171.5,9.8000000000000000e+01,468.879,171.5,9.8000000000000000e+01,21.812,450.547,171.5,5.0000000000000000e+01,472.359,171.5,5.0000000000000000e+01,29.632,446.641,171.5,0.0000000000000000e+00,476.273,171.5,0.0000000000000000e+00,26.7942879193,5.55956529909,0:09:04 (H:M:S)
Run-14,36.391421334476213,-0.62997841472433047,4.0500873923057199,49.0254997639,44.1255952582,43.25,3.0,30.0,44.7628458498,12.7925,457.063,171.5,9.8000000000000000e+01,469.8555,171.5,9.8000000000000000e+01,19.352,453.625,171.5,5.0000000000000000e+01,472.977,171.5,5.0000000000000000e+01,26.438,450.078,171.5,0.0000000000000000e+00,476.516,171.5,0.0000000000000000e+00,32.3582727875,5.10783585601,0:08:49 (H:M:S)
Run-15,37.976833757735577,-1.6840040177278968,4.7660661917500633,51.027672956,46.1255952582,43.25,3.0,30.0,46.6756409063,13.953,454.961,171.5,9.8000000000000000e+01,468.914,171.5,9.8000000000000000e+01,21.555,451.086,171.5,5.0000000000000000e+01,472.641,171.5,5.0000000000000000e+01,29.86,446.945,171.5,0.0000000000000000e+00,476.805,171.5,0.0000000000000000e+00,27.9742450246,5.52804361624,0:09:41 (H:M:S)
Run-16,36.696358384862471,0.89173162318241384,4.6959343592982243,47.004454343,40.911304126,43.25,3.0,30.0,40.9844535894,12.922,458.133,171.5,9.8000000000000000e+01,471.055,171.5,9.8000000000000000e+01,20.415,454.273,171.5,5.0000000000000000e+01,474.688,171.5,5.0000000000000000e+01,28.617,450.172,171.5,0.0000000000000000e+00,478.789,171.5,0.0000000000000000e+00,34.5538227465,5.61686581796,0:14:07 (H:M:S)
Run-17,35.931894855131418,-0.5594894217215115,4.3460018570852048,49.0226986129,44.1255952582,43.25,3.0,30.0,44.7271702368,12.617,457.258,171.5,9.8000000000000000e+01,469.875,171.5,9.8000000000000000e+01,19.617,453.625,171.5,5.0000000000000000e+01,473.242,171.5,5.0000000000000000e+01,27.203,449.836,171.5,0.0000000000000000e+00,477.039,171.5,0.0000000000000000e+00,32.6989677815,5.52276179386,0:10:54 (H:M:S)
Run-18,37.167099055562709,-1.7581033341014742,4.1766992381738204,51.0304600408,46.1255952582,43.25,3.0,30.0,46.7621407334,13.25,455.609,171.5,9.8000000000000000e+01,468.859,171.5,9.8000000000000000e+01,20.196,451.898,171.5,5.0000000000000000e+01,472.094,171.5,5.0000000000000000e+01,27.524,448.234,171.5,0.0000000000000000e+00,475.758,171.5,0.0000000000000000e+00,28.9138457586,5.116721385,0:07:39 (H:M:S)
Run-19,37.624801967278259,0.63223012796643807,3.5302964640681029,47.0148757715,41.7147708356,43.25,3.0,30.0,42.7945566286,13.578,457.25,171.5,9.8000000000000000e+01,470.828,171.5,9.8000000000000000e+01,19.187,454.336,171.5,5.0000000000000000e+01,473.523,171.5,5.0000000000000000e+01,25.359,451.25,171.5,0.0000000000000000e+00,476.609,171.5,0.0000000000000000e+00,32.7621231288,4.64490279634,0:11:24 (H:M:S)
Run-20,37.06871662703589,1.0639330131699025,4.3601130725431432,45.0375469337,40.1255952582,43.25,3.0,30.0,40.7258888739,13.219,458.664,171.5,9.8000000000000000e+01,471.883,171.5,9.8000000000000000e+01,20.492,454.766,171.5,5.0000000000000000e+01,475.258,171.5,5.0000000000000000e+01,28.11,450.953,171.5,0.0000000000000000e+00,479.063,171.5,0.0000000000000000e+00,34.9470910399,5.52313873318,0:08:32 (H:M:S)
