2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.1.9:lithography.dimensionalBias.xBias,2.1.15:thickness,FinCD_Bot,FinCD_Top,GapCD_top,Trench_CD,ObjFunction_Value
4.2235435898288429,2.0362623416959988,36.205509528054527,26.875,12.828,38.3549344737,38.7294250282,0.018611089508624445
4.2225965561772973,2.0368849546032042,36.205982306265248,26.867,12.828,38.3552597866,38.7294250282,0.018642304441513602
3.9217205111250855,2.2598866255537264,37.297801507525207,26.641,13.313,36.8932856332,38.7648221344,0.048710497110839412
4.0077586284920068,2.2971992650561095,37.325081367843481,26.961,13.344,36.8625764099,38.7628458498,0.048938350924046858
4.0022798493524379,2.294450882658543,37.326079875157809,26.938,13.344,36.8625764099,38.7630799605,0.048973624896873957
4.7574687554766033,1.8584528393193696,35.127106862470058,27.789,11.9805,37.9748082613,38.9982616254,0.022812700705685529
4.7572954080023697,1.8581889192944978,35.125537390055513,27.789,11.9885,37.9708566382,38.9982616254,0.022813253456874349
4.7575797280151484,1.8585052374880571,35.128337479276972,27.789,11.9805,37.9748082613,38.9982616254,0.02281190726521487
4.7578485277609097,1.8582757081009929,35.130797147975031,27.789,11.9805,37.9748082613,38.9982616254,0.022810328750288988
4.7565367803164014,1.858653735034304,35.129285660645166,27.789,11.977,37.9748082613,38.9978842296,0.022802879244864016
4.7575314671075093,1.8587528832192357,35.130593358226065,27.789,11.9805,37.9748082613,38.9982616254,0.022810469493030894
4.7577867951864556,1.8581519172697682,35.131617586043859,27.789,11.9785,37.9748082613,38.9982616254,0.022810971046006046
4.7575701770452845,1.8582833912654841,35.129467576891642,27.789,11.9805,37.9748082613,38.9982616254,0.0228111973517926
4.7577741089402448,1.8583478041689709,35.128123720491267,27.789,11.9805,37.9748082613,38.9982616254,0.022812031678832057
4.7568603216271423,1.8580930634257529,35.133528712838739,27.789,11.9805,37.9748082613,38.9978842296,0.022798081521209212
4.7574531352849281,1.8584802169437056,35.130263070254436,27.789,11.9805,37.9748412895,38.9982616254,0.022810671878758626
4.7575238848262416,1.8584999585448381,35.132914360179107,27.789,11.9805,37.9748082613,38.9982608696,0.022808982610712292
4.7575728626162306,1.8585002592952475,35.131876874344727,27.789,11.977,37.9748082613,38.9982608696,0.022811731249170464
4.7577579857397474,1.8585723332520603,35.130390204471539,27.789,11.977,37.9748082613,38.9978275981,0.022800484449263081
4.7574545282843026,1.8583410221563903,35.135510942139057,27.789,11.977,37.9748082613,38.9982616254,0.022809458913648939
4.7573219177676407,1.8582110603388899,35.137320485588823,27.789,11.9785,37.9751920643,38.9978842296,0.022796514030638093
4.7571419601836196,1.8583255021611278,35.13638272699373,27.789,11.9805,37.9748082613,38.9978842296,0.022796237166062383
4.7577070862839212,1.8585054108771992,35.135142319329994,27.789,11.9785,37.9748082613,38.9982616254,0.022808726446598371
4.7574980373054112,1.8585849836233195,35.136869038696716,27.789,11.977,37.9748082613,38.9978842296,0.022797982418488516
4.7580316281778989,1.8582221406813122,35.130818474970667,27.789,11.9805,37.9748082613,38.9978842296,0.022799697739614544
4.7567846863187109,1.8579653725136114,35.134466957272089,27.789,11.9805,37.9748082613,38.9982616254,0.022808098960602763
4.7572460764497135,1.8581665974562616,35.132980694213721,27.789,11.9805,37.9748082613,38.9982608696,0.022808975568963774
4.7567735286010029,1.8584047342227732,35.134092088963989,27.789,11.9805,37.9748082613,38.9978842296,0.022797720741074556
4.7568477352302612,1.8579626817934101,35.134570230051786,27.789,11.977,37.9748082613,38.9978842296,0.022799519074617081
4.7572307278270323,1.8581944622645166,35.135109943985647,27.789,11.975,37.9748082613,38.9978842296,0.022800486678420384
4.7574662016389055,1.8584635132561773,35.134401979578122,27.789,11.977,37.9748082613,38.9978842296,0.0227995559240739
4.755344967561955,1.8584505559545634,35.131317095269686,27.781,11.977,37.9748082613,38.9982616254,0.022635515194437517
4.7565888344015148,1.8578428314105686,35.134768228272996,27.789,11.977,37.9748082613,38.9978842296,0.022799419614642602
4.7573988558392921,1.8581266135110188,35.136771841363739,27.789,11.975,37.9748082613,38.9978842296,0.022799419076136473
Optimization Completed:,Successfully
Total Useful Runs:,70
Total Un-usable Runs:,230
Total Runs:,300
Total Time:,21:11:50
