2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.1.9:lithography.dimensionalBias.xBias,2.1.9:lithography.dimensionalBias.xBias,2.1.9:lithography.dimensionalBias.xBias,2.1.9:lithography.dimensionalBias.xBias,2.1.9:lithography.dimensionalBias.xBias,2.1.9:lithography.dimensionalBias.xBias,2.1.15:thickness,2.1.15:thickness,2.1.15:thickness,2.1.15:thickness,2.1.15:thickness,2.1.15:thickness
POR inSpec%,inSpec%,Confidence Interval,Window,width/std,Normalized width/std,POR inSpec%,inSpec%,Confidence Interval,Window,width/std,Normalized width/std,POR inSpec%,inSpec%,Confidence Interval,Window,width/std,Normalized width/std
81.99203882020252,0,"[0, 0]","[4.099009009009008, 4.100990990990991]",0.00033033033033043796,0.0010010010010013271,81.99203882020252,0,"[0, 0]","[-0.253003003003003, -0.246996996996997]",0.0010010010010009969,0.0010010010010009969,81.99203882020252,0,"[0, 0]","[38.997297297297294, 39.002702702702706]",0.0009009009009020019,0.0010010010010022244
81.99203882020252,0,"[0, 0]","[4.098018018018018, 4.101981981981981]",0.0006606606606605799,0.0020020020020017574,81.99203882020252,0,"[0, 0]","[-0.256006006006006, -0.243993993993994]",0.0020020020020019985,0.0020020020020019985,81.99203882020252,0,"[0, 0]","[38.994594594594595, 39.005405405405405]",0.0018018018018016353,0.002002002002001817
81.99203882020252,0,"[0, 0]","[4.097027027027027, 4.102972972972973]",0.000990990990991018,0.0030030030030030845,81.99203882020252,40.53639811489039,"[1.019824196865802, 80.05297203291497]","[-0.25900900900900903, -0.240990990990991]",0.0030030030030030047,0.0030030030030030047,81.99203882020252,0,"[0, 0]","[38.99189189189189, 39.00810810810811]",0.0027027027027036374,0.0030030030030040416
81.99203882020252,0.7202338013635803,"[0.018119810643990243, 1.4223477920831704]","[4.096036036036035, 4.103963963963964]",0.0013213213213214559,0.004004004004004412,81.99203882020252,62.681091370264156,"[1.5769455757804556, 100]","[-0.262012012012012, -0.23798798798798798]",0.004004004004004007,0.004004004004004007,81.99203882020252,0,"[0, 0]","[38.98918918918919, 39.01081081081081]",0.0036036036036032706,0.004004004004003634
81.99203882020252,2.0547549740772646,"[0.05169400683443097, 4.057815941320098]","[4.095045045045045, 4.104954954954954]",0.0016516516516515978,0.005005005005004842,81.99203882020252,70.95622937799362,"[1.7888970812663236, 100]","[-0.265015015015015, -0.234984984984985]",0.005005005005005003,0.005005005005005003,81.99203882020252,0,"[0, 0]","[38.986486486486484, 39.013513513513516]",0.004504504504505273,0.0050050050050058584
81.99203882020252,3.6004796271078936,"[0.09058170964376318, 7.110377544572024]","[4.0940540540540535, 4.105945945945946]",0.001981981981982036,0.006006006006006169,81.99203882020252,73.97617311653843,"[1.86503371629934, 100]","[-0.268018018018018, -0.23198198198198197]",0.006006006006006005,0.006006006006006005,81.99203882020252,0,"[0, 0]","[38.983783783783785, 39.016216216216215]",0.005405405405404906,0.006006006006005451
81.99203882020252,5.01675355145065,"[0.12647875830343755, 13.631031247866549]","[4.093063063063063, 4.106936936936936]",0.002312312312312178,0.007007007007006599,81.99203882020252,74.78479365281233,"[1.8854200718014973, 100]","[-0.271021021021021, -0.22897897897897898]",0.007007007007007002,0.007007007007007002,81.99203882020252,0,"[0, 0]","[38.98108108108108, 39.01891891891892]",0.006306306306306908,0.007007007007007676
81.99203882020252,6.197063265530605,"[0.15623587224561053, 16.838053165483373]","[4.092072072072072, 4.1079279279279275]",0.0026426426426426155,0.008008008008007925,81.99203882020252,74.70032274253117,"[1.8832904523702152, 100]","[-0.27402402402402404, -0.22597597597597596]",0.008008008008008013,0.008008008008008013,81.99203882020252,0,"[0, 0]","[38.97837837837838, 39.02162162162162]",0.007207207207206541,0.008008008008007267
81.99203882020252,7.141282520163425,"[0.1800408444586912, 19.40359321698053]","[4.0910810810810805, 4.108918918918919]",0.0029729729729730536,0.009009009009009254,81.99203882020252,74.28737491477295,"[1.872879510719741, 100]","[-0.27702702702702703, -0.22297297297297297]",0.009009009009009009,0.009009009009009009,81.99203882020252,0,"[0, 0]","[38.975675675675674, 39.024324324324326]",0.008108108108108544,0.009009009009009493
81.99203882020252,35.93647655709463,"[4.857604438067279, 67.01534867612197]","[4.09009009009009, 4.109909909909909]",0.0033033033033031955,0.010010010010009684,81.99203882020252,73.78485665901067,"[1.8602103842893145, 100]","[-0.28003003003003, -0.21996996996996998]",0.010010010010010006,0.010010010010010006,81.99203882020252,0,"[0, 0]","[38.972972972972975, 39.027027027027025]",0.009009009009008176,0.010010010010009085
81.99203882020252,50.199696775231814,"[6.785592055959546, 93.61380149450409]","[4.089099099099099, 4.1109009009009005]",0.0036336336336336337,0.011011011011011011,81.99203882020252,73.28991142652987,"[1.8477321834388307, 100]","[-0.283033033033033, -0.21696696696696696]",0.011011011011011007,0.011011011011011007,81.99203882020252,0,"[0, 0]","[38.97027027027027, 39.02972972972973]",0.009909909909910178,0.01101101101101131
