2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.1.9:lithography.dimensionalBias.xBias,2.1.9:lithography.dimensionalBias.xBias,2.1.9:lithography.dimensionalBias.xBias,2.1.9:lithography.dimensionalBias.xBias,2.1.9:lithography.dimensionalBias.xBias,2.1.15:thickness,2.1.15:thickness,2.1.15:thickness,2.1.15:thickness,2.1.15:thickness
POR inSpec%,inSpec%,Confidence Interval,Nominal Value,Window,POR inSpec%,inSpec%,Confidence Interval,Nominal Value,Window,POR inSpec%,inSpec%,Confidence Interval,Nominal Value,Window
81.99203882020252,83.6970779439713,"[73.88707603866156, 92.95033456017518]",3.99,"[3.0, 4.98]",81.99203882020252,84.6953932235077,"[75.90859046582442, 92.78329990656783]",-1.0,"[-4.0, 2.0]",81.99203882020252,99.45428565155406,"[94.02297224882727, 100]",37.7,"[35.0, 40.4]"
81.99203882020252,83.67651473191651,"[73.80391145300382, 92.99641812452792]",3.9908083233293317,"[3.000808323329332, 4.980808323329332]",81.99203882020252,84.69290609803683,"[75.90636136951093, 92.78057527539623]",-0.9991996798719489,"[-3.999199679871949, 2.000800320128051]",81.99203882020252,99.45133101185829,"[94.02017896541771, 100]",37.701840736294514,"[35.00184073629452, 40.40184073629452]"
81.99203882020252,83.66360615814862,"[73.7580205865966, 93.03133189734764]",3.991616646658663,"[3.0016166466586633, 4.981616646658663]",81.99203882020252,84.69041913913172,"[75.90413242248266, 92.77785082669641]",-0.9983993597438974,"[-3.9983993597438974, 2.0016006402561026]",81.99203882020252,99.44836261305242,"[94.01737267429894, 100]",37.70368147258904,"[35.00368147258904, 40.403681472589035]"
81.99203882020252,83.65227603192884,"[73.7480319222138, 93.01873314884521]",3.9924249699879955,"[3.0024249699879952, 4.982424969987996]",81.99203882020252,84.68793234449555,"[75.90190362268109, 92.77512655795222]",-0.9975990396158463,"[-3.9975990396158463, 2.0024009603841537]",81.99203882020252,99.4453804044291,"[94.0145533275328, 100]",37.70552220888355,"[35.005522208883555, 40.40552220888355]"
81.99203882020252,83.64093230278822,"[73.73803126546588, 93.00611927431729]",3.993233293317327,"[3.003233293317327, 4.983233293317327]",81.99203882020252,84.68544571183043,"[75.89967496804675, 92.77240246664638]",-0.9967987194877952,"[-3.996798719487795, 2.003201280512205]",81.99203882020252,99.43985358319742,"[93.89909887112196, 100]",37.707362945178076,"[35.00736294517807, 40.40736294517807]"
81.99203882020252,83.6295749591276,"[73.72801860612692, 92.99349026086588]",3.9940416166466584,"[3.0040416166466586, 4.984041616646659]",81.99203882020252,84.68295923883767,"[75.89744645651939, 92.76967855026065]",-0.9959983993597441,"[-3.995998399359744, 2.004001600640256]",81.99203882020252,99.43682869913847,"[93.89624253257067, 100]",37.70920368147259,"[35.00920368147259, 40.40920368147259]"
81.99203882020252,83.61519299390471,"[73.64939819780069, 93.04766730236754]",3.9948499399759907,"[3.0048499399759905, 4.984849939975991]",81.99203882020252,84.68047292321774,"[75.89521808603808, 92.76695480627593]",-0.9951980792316926,"[-3.9951980792316926, 2.0048019207683074]",81.99203882020252,99.43378977592586,"[93.89337293712256, 100]",37.71104441776711,"[35.01104441776711, 40.41104441776711]"
81.99203882020252,83.60382694360075,"[73.63938682624489, 93.03501906908174]",3.9956582633053217,"[3.005658263305322, 4.9856582633053215]",81.99203882020252,84.67798676267032,"[75.89298985454114, 92.76423123217222]",-0.9943977591036415,"[-3.9943977591036415, 2.0056022408963585]",81.99203882020252,99.43073676207392,"[93.89049003616073, 100]",37.712885154061624,"[35.01288515406163, 40.41288515406163]"
81.99203882020252,83.59244714527907,"[73.62936334524825, 93.0223555368899]",3.9964665866346536,"[3.006466586634654, 4.986466586634654]",81.99203882020252,84.67550075489413,"[75.89076175996604, 92.7615078254285]",-0.9935974389755904,"[-3.9935974389755904, 2.0064025610244096]",81.99203882020252,99.42677058939549,"[93.67829443915984, 100]",37.714725890356135,"[35.01472589035614, 40.41472589035614]"
