# Command,Expeditor MC_VA_Analytics.csv --outputDir MC_VA_Analytics_Expeditor -overwrite -nocollect -np 4 -ntpp 1 --hashed -killflagfile C:/Users/began/AppData/Local/Temp/semuKillFiled14528
# Started,2018-10-12 21:48:14
# Output folder,C:\Users\began\Documents\Product_80\New_Tutorial\MC_VA\MC_VA_Analytics\MC_VA_Analytics_Expeditor

# Assembly File,..\14nmFinFET.zam


Run,2.1.15:thickness,2.1.9:lithography.dimensionalBias.xBias,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,CD_MAND_DEV,CD_MAND_FIN,SH_MAND_FIN,THK_PADOX_DEP,THK_PADNIT_DEP,Trench_CD,FinCD_Top,FinCD_Top_xStart,FinCD_Top_yStart,FinCD_Top_zStart,FinCD_Top_xEnd,FinCD_Top_yEnd,FinCD_Top_zEnd,FinCD_Mid,FinCD_Mid_xStart,FinCD_Mid_yStart,FinCD_Mid_zStart,FinCD_Mid_xEnd,FinCD_Mid_yEnd,FinCD_Mid_zEnd,FinCD_Bot,FinCD_Bot_xStart,FinCD_Bot_yStart,FinCD_Bot_zStart,FinCD_Bot_xEnd,FinCD_Bot_yEnd,FinCD_Bot_zEnd,GapCD_top,sidewall_angle,Duration
Run-11,40.017731528933076,2.876742695289888,5.2919202177358606,43.0050890585,36.9263301833,43.25,3.0,30.0,36.9322736697,15.398,457.969,171.5,9.8000000000000000e+01,473.367,171.5,9.8000000000000000e+01,23.969,453.625,171.5,5.0000000000000000e+01,477.594,171.5,5.0000000000000000e+01,33.203,449.0,171.5,0.0000000000000000e+00,482.203,171.5,0.0000000000000000e+00,33.9660051146,6.33746350538,0:11:09 (H:M:S)
Run-12,36.558561770367298,-0.61585095892164077,5.1147773775680321,49.024877972,44.1255952582,43.25,3.0,30.0,44.672823219,12.889,457.023,171.5,9.8000000000000000e+01,469.912,171.5,9.8000000000000000e+01,21.454,452.484,171.5,5.0000000000000000e+01,473.938,171.5,5.0000000000000000e+01,30.375,448.016,171.5,0.0000000000000000e+00,478.391,171.5,0.0000000000000000e+00,32.298790392,6.01023257206,0:08:37 (H:M:S)
Run-13,40.816670521283235,-0.36007803356665657,5.5196649349625595,49.0145615701,43.7087614746,43.25,3.0,30.0,44.6062966526,15.8165,454.125,171.5,9.8000000000000000e+01,469.9415,171.5,9.8000000000000000e+01,24.711,449.547,171.5,5.0000000000000000e+01,474.258,171.5,5.0000000000000000e+01,34.351,444.727,171.5,0.0000000000000000e+00,479.078,171.5,0.0000000000000000e+00,26.5321646836,6.59815756776,0:11:11 (H:M:S)
Run-14,45.331776096970273,1.6484572814783014,4.6876218684068967,45.0142472693,39.7081700685,43.25,3.0,30.0,40.7204058625,18.558,453.344,171.5,9.8000000000000000e+01,471.902,171.5,9.8000000000000000e+01,26.21,449.313,171.5,5.0000000000000000e+01,475.523,171.5,5.0000000000000000e+01,34.414,445.219,171.5,0.0000000000000000e+00,479.633,171.5,0.0000000000000000e+00,24.7668011432,5.57066354422,0:11:38 (H:M:S)
Run-15,36.096227350656036,-1.6115493359148554,5.3561586109097039,51.0245669291,46.1255952582,43.25,3.0,30.0,46.6088342516,12.766,456.164,171.5,9.8000000000000000e+01,468.93,171.5,9.8000000000000000e+01,21.485,451.648,171.5,5.0000000000000000e+01,473.133,171.5,5.0000000000000000e+01,30.859,446.969,171.5,0.0000000000000000e+00,477.828,171.5,0.0000000000000000e+00,30.5436624444,6.58734013826,0:09:07 (H:M:S)
Run-16,39.05683630804711,-0.31884721637281982,4.5343048222774387,49.0129890702,43.6927003478,43.25,3.0,30.0,44.7220338983,14.449,455.438,171.5,9.8000000000000000e+01,469.887,171.5,9.8000000000000000e+01,21.914,451.5,171.5,5.0000000000000000e+01,473.414,171.5,5.0000000000000000e+01,29.836,447.539,171.5,0.0000000000000000e+00,477.375,171.5,0.0000000000000000e+00,28.7965855147,5.56224014783,0:09:58 (H:M:S)
Run-17,37.028059539524243,3.6091232025697115,4.2615922889846756,41.0158177792,35.7162529061,43.25,3.0,30.0,36.7271702368,13.125,460.742,171.5,9.8000000000000000e+01,473.867,171.5,9.8000000000000000e+01,20.289,456.883,171.5,5.0000000000000000e+01,477.172,171.5,5.0000000000000000e+01,27.773,453.141,171.5,0.0000000000000000e+00,480.914,171.5,0.0000000000000000e+00,38.9676153426,5.51824251944,0:09:55 (H:M:S)
Run-18,39.800996726975924,1.5818749329574182,2.71129088042525,45.0170723996,40.2014194116,43.25,3.0,30.0,40.8487836949,14.742,457.047,171.5,9.8000000000000000e+01,471.789,171.5,9.8000000000000000e+01,19.282,454.531,171.5,5.0000000000000000e+01,473.813,171.5,5.0000000000000000e+01,24.039,452.141,171.5,0.0000000000000000e+00,476.18,171.5,0.0000000000000000e+00,32.3572446814,4.2406738196,0:10:22 (H:M:S)
Run-19,37.374575665515763,-1.6727459239164693,3.7457613143405544,51.0270525322,46.1255952582,43.25,3.0,30.0,46.7652859961,13.399,455.445,171.5,9.8000000000000000e+01,468.844,171.5,9.8000000000000000e+01,19.546,452.188,171.5,5.0000000000000000e+01,471.734,171.5,5.0000000000000000e+01,26.07,448.938,171.5,0.0000000000000000e+00,475.008,171.5,0.0000000000000000e+00,28.8465312234,5.06491237331,0:08:28 (H:M:S)
Run-20,37.833028220744275,-1.1174241616145835,6.1185397162720543,51.0047717512,44.9167602373,43.25,3.0,30.0,44.97373918,13.642,455.477,171.5,9.8000000000000000e+01,469.119,171.5,9.8000000000000000e+01,23.782,450.156,171.5,5.0000000000000000e+01,473.938,171.5,5.0000000000000000e+01,34.43,444.836,171.5,0.0000000000000000e+00,479.266,171.5,0.0000000000000000e+00,28.7925513178,6.99039500858,0:12:12 (H:M:S)
Run-21,39.302061211231511,-0.07586978170195674,5.6080577593665506,49.0031836995,42.7828252125,43.25,3.0,30.0,42.6082075255,14.996,455.922,171.5,9.8000000000000000e+01,470.918,171.5,9.8000000000000000e+01,24.555,450.781,171.5,5.0000000000000000e+01,475.336,171.5,5.0000000000000000e+01,34.359,445.875,171.5,0.0000000000000000e+00,480.234,171.5,0.0000000000000000e+00,29.9064713013,6.58439605622,0:10:47 (H:M:S)
Run-22,40.689436089396139,3.8021276900203045,5.2816243269410936,41.007940289,35.5476670399,43.25,3.0,30.0,36.6682026212,15.567,458.359,171.5,9.8000000000000000e+01,473.926,171.5,9.8000000000000000e+01,24.188,453.859,171.5,5.0000000000000000e+01,478.047,171.5,5.0000000000000000e+01,33.453,449.227,171.5,0.0000000000000000e+00,482.68,171.5,0.0000000000000000e+00,34.7037875255,6.02375833571,0:12:11 (H:M:S)
Run-23,37.889783530470169,-3.1810641771595352,4.0440357599230641,55.0073073868,48.9580119874,43.25,3.0,30.0,50.7606330366,13.746,453.117,171.5,9.8000000000000000e+01,466.863,171.5,9.8000000000000000e+01,20.125,449.875,171.5,5.0000000000000000e+01,470.0,171.5,5.0000000000000000e+01,27.195,446.328,171.5,0.0000000000000000e+00,473.523,171.5,0.0000000000000000e+00,24.6573530776,5.25630604847,0:11:24 (H:M:S)
Run-24,42.275425089469444,-1.835315147142305,5.6147200961984094,51.033547578,46.1255952582,43.25,3.0,30.0,46.605032752,16.7305,452.211,171.5,9.8000000000000000e+01,468.9415,171.5,9.8000000000000000e+01,25.82,447.508,171.5,5.0000000000000000e+01,473.328,171.5,5.0000000000000000e+01,35.632,442.602,171.5,0.0000000000000000e+00,478.234,171.5,0.0000000000000000e+00,22.5584436635,6.58537712575,0:09:19 (H:M:S)
Run-25,41.588436934722985,-2.4984461257155424,5.6069585529474706,53.0202020202,48.117582285,43.25,3.0,30.0,48.6031423092,16.289,451.656,171.5,9.8000000000000000e+01,467.945,171.5,9.8000000000000000e+01,25.64,446.688,171.5,5.0000000000000000e+01,472.328,171.5,5.0000000000000000e+01,35.438,441.789,171.5,0.0000000000000000e+00,477.227,171.5,0.0000000000000000e+00,20.920575924,6.58243478999,0:10:59 (H:M:S)
Run-26,40.396713901110857,-2.3700220327424999,5.0795489441473496,53.0148757715,47.7147708356,43.25,3.0,30.0,48.6741130092,15.433,452.469,171.5,9.8000000000000000e+01,467.902,171.5,9.8000000000000000e+01,23.828,448.055,171.5,5.0000000000000000e+01,471.883,171.5,5.0000000000000000e+01,32.672,443.633,171.5,0.0000000000000000e+00,476.305,171.5,0.0000000000000000e+00,22.7988393681,6.0098236451,0:10:48 (H:M:S)
Run-27,37.957897493362857,-0.8594132991858251,6.907121277049459,49.0344719524,44.1255952582,43.25,3.0,30.0,42.9934938191,14.055,455.961,171.5,9.8000000000000000e+01,470.016,171.5,9.8000000000000000e+01,25.242,450.242,171.5,5.0000000000000000e+01,475.484,171.5,5.0000000000000000e+01,37.313,444.203,171.5,0.0000000000000000e+00,481.516,171.5,0.0000000000000000e+00,29.9284435093,7.47318141142,0:08:56 (H:M:S)
Run-28,37.455806017714437,0.28533629096039403,3.7579124820151817,47.0289126336,42.1255952582,43.25,3.0,30.0,42.7652859961,13.485,457.359,171.5,9.8000000000000000e+01,470.844,171.5,9.8000000000000000e+01,19.602,454.148,171.5,5.0000000000000000e+01,473.75,171.5,5.0000000000000000e+01,26.132,450.891,171.5,0.0000000000000000e+00,477.023,171.5,0.0000000000000000e+00,32.825318626,4.6377383887,0:07:11 (H:M:S)
