# Command,Expeditor DSD_Analytics.csv --outputDir DSD_Analytics_Expeditor -overwrite -nocollect -np 4 -ntpp 1 --hashed -killflagfile C:/Users/began/AppData/Local/Temp/semuKillFiled11372
# Started,2018-10-12 14:59:25
# Output folder,C:\Users\began\Documents\Product_80\New_Tutorial\DSD\DSD_Analytics\DSD_Analytics_Expeditor

# Assembly File,..\14nmFinFET.zam


Run,2.1.15:thickness,2.1.15:type.conformal.lateralRatio,2.1.9:lithography.dimensionalBias.xBias,2.1.9:thickness,2.2.9.2.2:materials['/Organics/'].etchType.sputter.maxYieldAngle,2.2.9.2.2:materials['/Organics/'].etchType.sputter.sputterRatio,2.2.9.2.2:materials['/Silicon/'].etchRatio,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.2.9.2.2:materials['/Silicon/'].lateralRatio,CD_MAND_DEV,CD_MAND_FIN,SH_MAND_FIN,THK_PADOX_DEP,THK_PADNIT_DEP,Trench_CD,FinCD_Top,FinCD_Top_xStart,FinCD_Top_yStart,FinCD_Top_zStart,FinCD_Top_xEnd,FinCD_Top_yEnd,FinCD_Top_zEnd,FinCD_Mid,FinCD_Mid_xStart,FinCD_Mid_yStart,FinCD_Mid_zStart,FinCD_Mid_xEnd,FinCD_Mid_yEnd,FinCD_Mid_zEnd,FinCD_Bot,FinCD_Bot_xStart,FinCD_Bot_yStart,FinCD_Bot_zStart,FinCD_Bot_xEnd,FinCD_Bot_yEnd,FinCD_Bot_zEnd,GapCD_top,sidewall_angle,Duration
Run-10,35.0,0.5,4.0,90.0,50.0,0.3,1.0,7.0,0.01,39.04,34.1255952582,43.25,3.0,30.0,32.9928410831,9.054,465.969,171.5,9.8000000000000000e+01,475.023,171.5,9.8000000000000000e+01,20.321,460.234,171.5,5.0000000000000000e+01,480.555,171.5,5.0000000000000000e+01,32.578,454.117,171.5,0.0000000000000000e+00,486.695,171.5,0.0000000000000000e+00,49.9258666975,NOVAL,0:08:00 (H:M:S)
Run-11,45.0,0.7,-4.0,50.0,50.0,0.1,0.8,3.0,0.03,55.04,50.1255952582,43.25,3.0,30.0,52.9347079038,19.875,445.461,171.5,9.8000000000000000e+01,465.336,171.5,9.8000000000000000e+01,24.016,443.398,171.5,5.0000000000000000e+01,467.414,171.5,5.0000000000000000e+01,41.713,435.808,171.5,0.0000000000000000e+00,477.521,171.5,0.0000000000000000e+00,NOVAL,8.36020464925,0:05:45 (H:M:S)
Run-12,35.0,0.7,-4.0,90.0,60.0,0.3,0.8,5.0,0.01,55.04,50.1255952582,43.25,3.0,30.0,48.986681465,15.382,451.688,171.5,9.8000000000000000e+01,467.07,171.5,9.8000000000000000e+01,24.117,446.938,171.5,5.0000000000000000e+01,471.055,171.5,5.0000000000000000e+01,41.161,439.941,171.5,0.0000000000000000e+00,481.102,171.5,0.0000000000000000e+00,20.9317492611,6.34079833931,0:06:09 (H:M:S)
Run-13,45.0,0.5,4.0,50.0,40.0,0.1,1.0,5.0,0.03,39.04,34.1255952582,43.25,3.0,30.0,36.990819569,10.399,462.367,171.5,9.8000000000000000e+01,472.766,171.5,9.8000000000000000e+01,17.891,458.578,171.5,5.0000000000000000e+01,476.469,171.5,5.0000000000000000e+01,26.657,454.195,171.5,0.0000000000000000e+00,480.852,171.5,0.0000000000000000e+00,40.9926020671,6.40435272638,0:08:04 (H:M:S)
Run-14,45.0,0.7,4.0,90.0,40.0,0.3,0.8,3.0,0.02,39.04,34.1255952582,43.25,3.0,30.0,34.96329663,21.527,452.672,171.5,9.8000000000000000e+01,474.199,171.5,9.8000000000000000e+01,25.898,450.469,171.5,5.0000000000000000e+01,476.367,171.5,5.0000000000000000e+01,42.915,443.212,171.5,0.0000000000000000e+00,486.127,171.5,0.0000000000000000e+00,22.96855461,4.83253688868,0:06:54 (H:M:S)
Run-15,35.0,0.5,-4.0,50.0,60.0,0.1,1.0,7.0,0.02,55.04,50.1255952582,43.25,3.0,30.0,50.983848664,7.0435,458.906,171.5,9.8000000000000000e+01,465.9495,171.5,9.8000000000000000e+01,17.929,453.43,171.5,5.0000000000000000e+01,471.359,171.5,5.0000000000000000e+01,30.187,447.297,171.5,0.0000000000000000e+00,477.484,171.5,0.0000000000000000e+00,34.9490121096,7.65282149669,0:08:08 (H:M:S)
Run-16,35.0,0.7,0.0,90.0,60.0,0.1,1.0,3.0,0.03,47.04,42.1255952582,43.25,3.0,30.0,44.9946577176,11.438,457.242,171.5,9.8000000000000000e+01,468.68,171.5,9.8000000000000000e+01,15.446,455.242,171.5,5.0000000000000000e+01,470.688,171.5,5.0000000000000000e+01,20.688,452.625,171.5,0.0000000000000000e+00,473.313,171.5,0.0000000000000000e+00,30.9915499222,4.88436796436,0:07:17 (H:M:S)
Run-17,45.0,0.5,0.0,50.0,40.0,0.3,0.8,7.0,0.01,47.04,42.1255952582,43.25,3.0,30.0,40.9691358025,14.578,456.594,171.5,9.8000000000000000e+01,471.172,171.5,9.8000000000000000e+01,26.492,450.313,171.5,5.0000000000000000e+01,476.805,171.5,5.0000000000000000e+01,46.194,441.563,171.5,0.0000000000000000e+00,487.757,171.5,0.0000000000000000e+00,30.8052596818,7.9606060001,0:07:08 (H:M:S)
Run-18,45.0,0.7,-4.0,90.0,40.0,0.1,1.0,7.0,0.01,55.04,50.1255952582,43.25,3.0,30.0,48.9921875,22.89,444.133,171.5,9.8000000000000000e+01,467.023,171.5,9.8000000000000000e+01,34.274,438.289,171.5,5.0000000000000000e+01,472.563,171.5,5.0000000000000000e+01,NOVAL,478.703,171.5,0.0000000000000000e+00,NOVAL,NOVAL,0.0000000000000000e+00,NOVAL,7.47534548108,0:08:39 (H:M:S)
Run-19,35.0,0.5,4.0,50.0,60.0,0.3,0.8,3.0,0.03,39.04,34.1255952582,43.25,3.0,30.0,36.937994723,5.922,467.406,171.5,9.8000000000000000e+01,473.328,171.5,9.8000000000000000e+01,10.07,465.336,171.5,5.0000000000000000e+01,475.406,171.5,5.0000000000000000e+01,26.833,458.523,171.5,0.0000000000000000e+00,485.356,171.5,0.0000000000000000e+00,50.998225228,NOVAL,0:05:06 (H:M:S)
Run-20,40.0,0.6,0.0,70.0,50.0,0.2,0.9,5.0,0.02,47.04,42.1255952582,43.25,3.0,30.0,42.9654178674,14.08,456.016,171.5,9.8000000000000000e+01,470.096,171.5,9.8000000000000000e+01,21.742,452.156,171.5,5.0000000000000000e+01,473.898,171.5,5.0000000000000000e+01,30.57,447.766,171.5,0.0000000000000000e+00,478.336,171.5,0.0000000000000000e+00,28.9940326963,6.27374904723,0:06:43 (H:M:S)

# Finished,2018-10-12 15:40:02
# Run time,0:40:37 (H:M:S)
